epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
166,10348.7,0.9276,0.43975,0.80053,0.94491,0.80395,0.88827,0.59425,1.10872,0.70842,0.83993,0.000911,0.000911,0.000911
167,10408.3,0.88467,0.42355,0.79016,0.96132,0.77668,0.86684,0.56221,1.10153,0.7291,0.8325,0.0009044,0.0009044,0.0009044
168,10468,0.8908,0.42853,0.79327,0.95484,0.79688,0.91967,0.64868,0.96495,0.75633,0.83071,0.0008978,0.0008978,0.0008978
169,10526.9,0.89616,0.42127,0.79569,0.98425,0.8125,0.92962,0.65055,1.07397,0.89755,0.82714,0.0008912,0.0008912,0.0008912
170,10585.9,0.92166,0.44393,0.79587,0.96221,0.79569,0.91119,0.65038,1.0651,0.91404,0.83643,0.0008846,0.0008846,0.0008846
171,10645.2,0.86475,0.41796,0.80155,0.9733,0.82031,0.91542,0.62058,1.06849,0.85413,0.83476,0.000878,0.000878,0.000878
172,10705.6,0.85236,0.42812,0.78963,0.94472,0.78906,0.89032,0.60661,1.06645,0.74887,0.83499,0.0008714,0.0008714,0.0008714
173,10765.1,0.90054,0.42963,0.78892,0.96594,0.77344,0.89276,0.60969,1.09501,0.78145,0.83837,0.0008648,0.0008648,0.0008648
174,10824.7,0.90436,0.44492,0.803,0.91941,0.80216,0.89764,0.62145,1.09524,0.75251,0.84021,0.0008582,0.0008582,0.0008582
175,10883.9,0.88863,0.44447,0.79023,0.95636,0.79688,0.91132,0.60738,1.03793,0.73633,0.82979,0.0008516,0.0008516,0.0008516
176,10943,0.8525,0.43644,0.79081,0.94447,0.79727,0.90918,0.6327,0.97958,0.75526,0.83203,0.000845,0.000845,0.000845
177,11002.1,0.88804,0.41481,0.79905,0.89552,0.82812,0.90384,0.60613,1.08567,0.71695,0.83208,0.0008384,0.0008384,0.0008384
178,11061.7,0.91216,0.42302,0.78788,0.92615,0.78381,0.88595,0.59846,1.05001,0.70609,0.83201,0.0008318,0.0008318,0.0008318
179,11120.6,0.8864,0.4304,0.78921,0.93323,0.87349,0.93182,0.64931,1.02106,0.68924,0.83017,0.0008252,0.0008252,0.0008252
180,11180,0.83074,0.39998,0.79581,0.93897,0.85938,0.93026,0.64562,1.03758,0.71521,0.83492,0.0008186,0.0008186,0.0008186
